;;;;;;;;;;;;G-DRG-Version 2014
Fallpauschalen-Katalog;;;;;;;;;;;;
Teil a) Bewertungsrelationen bei Versorgung durch Hauptabteilungen;;;;;;;;;;;;
;;;;;;;;;;;;
DRG;"Parti-
tion";Bezeichnung 6);"Bewertungsrelation bei 
Hauptabteilung";"Bewertungsrelation
bei Hauptabteilung und
Beleghebamme";"Mittlere
Verweil-
dauer 1)";Untere Grenzverweildauer;;Obere Grenzverweildauer;;"Externe Verlegung
Abschlag/Tag
(Bewertungsrelation)";"Verlegungs-
fallpauschale";"Ausnahme von
Wiederaufnahme 4)"
;;;;;;"Erster Tag mit
Abschlag 2), 5)";"Bewertungs-
relation/Tag";"Erster Tag zus.
Entgelt 3), 5)";"Bewertungs-
relation/Tag";;;
1;2;3;4;5;6;7;8;9;10;11;12;13
Prä-MDC;;;;;;;;;;;;
A01A;O;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;34,449;;52,7;17;1,588;71;0,543;0,654;x;x
A01B;O;"Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 
Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre";18,172;;37,2;11;1,196;55;0,437;;x;x
A01C;O;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre;9,819;;21,3;6;1,017;35;0,348;;x;x
A02Z;O;Transplantation von Niere und Pankreas;10,939;;26,5;8;0,928;44;0,346;;x;x
A03A;O;Lungentransplantation mit Beatmung > 179 Stunden;32,453;;42,5;13;1,957;60;0,645;;x;x
A03B;O;Lungentransplantation ohne Beatmung > 179 Stunden;15,207;;24,8;7;1,430;37;0,498;;x;x
A04B;O;"Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit In-vitro-Aufbereitung oder 
Alter < 16 Jahre";29,457;;49,7;16;1,718;68;0,588;;x;x
A04C;O;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, HLA-verschieden oder bei Plasmozytom, mit Graft-versus-host-Krankheit Grad III und IV, ohne In-vitro-Aufbereitung, Alter > 15 Jahre;19,255;;42,6;13;1,372;61;0,463;;x;x
A04D;O;"Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom, ohne In-vitro-Aufbereitung, 
Alter > 15 Jahre, ohne Graft-versus-host-Krankheit Grad III und IV, HLA-identisch";18,353;;38,8;12;1,407;57;0,471;;x;x
A04E;O;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre;15,629;;32,8;10;1,418;49;0,475;0,461;;x
A05A;O;Herztransplantation mit Beatmung > 179 Stunden oder Alter < 16 Jahre;34,594;;56,7;18;1,406;75;0,471;ü;x;x
